Type,Image ID,Correct QA,Total QA,Accuracy
Horizontal,16231,14,23,60.8696
Horizontal,15918,14,23,60.8696
Horizontal,15626,14,23,60.8696
Horizontal,16256,14,23,60.8696
Horizontal,15662,14,23,60.8696
Horizontal,16038,14,23,60.8696
Horizontal,15803,14,23,60.8696
Horizontal,15436,14,23,60.8696
Horizontal,15617,14,23,60.8696
Horizontal,16505,14,23,60.8696
Horizontal,15848,14,23,60.8696
Horizontal,15647,14,23,60.8696
Horizontal,16773,14,23,60.8696
Horizontal,16102,14,23,60.8696
Horizontal,15455,14,23,60.8696
Horizontal,15219,14,23,60.8696
Horizontal,15307,14,23,60.8696
Horizontal,15836,14,23,60.8696
Horizontal,6245,17,28,60.7143
Horizontal,6631,17,28,60.7143
Horizontal,6458,17,28,60.7143
Horizontal,6758,17,28,60.7143
Horizontal,6550,17,28,60.7143
Horizontal,6524,15,25,60.0
Horizontal,15715,12,20,60.0
Horizontal,8437,15,25,60.0
Horizontal,7642,16,27,59.2593
Horizontal,7055,16,27,59.2593
Horizontal,16479,13,22,59.0909
Horizontal,15521,13,22,59.0909
Horizontal,15522,13,22,59.0909
Horizontal,15656,13,22,59.0909
Horizontal,16188,13,22,59.0909
Horizontal,16459,13,22,59.0909
Horizontal,11114,10,17,58.8235
Horizontal,11438,10,17,58.8235
Horizontal,5735,10,17,58.8235
Horizontal,6997,10,17,58.8235
Horizontal,6207,10,17,58.8235
Horizontal,12729,17,29,58.6207
Horizontal,9176,17,29,58.6207
Horizontal,8417,17,29,58.6207
Horizontal,11294,17,29,58.6207
Horizontal,14828,17,29,58.6207
Horizontal,13409,17,29,58.6207
Horizontal,11457,17,29,58.6207
Horizontal,15381,14,24,58.3333
Horizontal,16087,14,24,58.3333
Horizontal,16745,14,24,58.3333
Horizontal,15253,14,24,58.3333
Horizontal,6292,14,24,58.3333
Horizontal,16212,14,24,58.3333
Horizontal,15110,11,19,57.8947
Horizontal,14584,15,26,57.6923
Horizontal,7501,16,28,57.1429
Horizontal,15197,12,21,57.1429
Horizontal,10244,16,28,57.1429
Horizontal,5625,16,28,57.1429
Horizontal,6720,16,28,57.1429
Horizontal,8365,16,28,57.1429
Horizontal,9142,16,28,57.1429
